TEAM,DATE,HOME / AWAY,OPPOSING TEAM,TOTAL POINTS GAINED,FINAL SCORE,TRIES,PENALTY TRY,CONVERSIONS,PENALTY KICK,DROP GOAL,KICK SUCCESS,METERS RUN,KICKS FROM HAND,PASSES,RUNS,POSSESSION 1H,POSSESSION 2H,TERRITORY 1H,TERRITORY 2H,CLEAN BREAKS,DEFENDERS BEATEN,OFFLOADS,RUCKS,RUCKS WON,MAULS,MAULS WON,TURNOVER CONCEDED,SCRUMS,SCRUMS WON,PACK WEIGHT,LINEOUTS,LINEOUTS WON,TACKLES MADE,TACKLES SUCCESS,PENALTIES CONCEDED,RED CARD,YELLOW CARD,FREE KICKS CONCEDED
ITA,21/03/15,HOME,WALES,0,20,2,0,2,2,0,100.00%,335,14,94,86,48.00%,37.00%,43.00%,31.00%,5,15,6,64,56,7,4,12,7,7,869,9,6,132,113,18,0,2,0
WALES,21/03/15,AWAY,ITA,5,61,8,0,6,3,0,82.00%,626,20,163,131,52.00%,63.00%,57.00%,69.00%,14,19,17,76,74,12,11,17,6,6,922,15,15,100,85,8,0,0,0
SCOT,21/03/15,HOME,IRE,0,10,1,0,1,1,0,100.00%,419,15,144,126,58.00%,32.00%,64.00%,26.00%,12,25,15,85,78,7,5,20,2,1,912,13,13,179,155,12,0,1,0
IRE,21/03/15,AWAY,SCOT,5,40,4,0,4,4,0,73.00%,506,27,169,130,42.00%,68.00%,36.00%,74.00%,13,24,4,110,106,8,7,11,10,10,914,10,8,144,119,6,0,0,0
ENG,21/03/15,HOME,FRA,5,55,7,0,7,2,0,90.00%,651,30,143,115,39.00%,47.00%,39.00%,54.00%,15,24,9,77,74,4,4,16,3,3,932,11,10,186,161,9,0,1,0
FRA,21/03/15,AWAY,ENG,1,35,5,0,2,2,0,44.00%,708,26,169,147,61.00%,53.00%,61.00%,46.00%,14,25,17,109,101,5,4,12,7,5,903,9,8,128,104,11,0,0,0
FRA,06/02/16,HOME,ITA,4,23,3,0,1,2,0,50.00%,,19,179,124,49.00%,49.00%,47.00%,47.00%,5,9,19,78,75,4,2,0,5,4,910,12,11,129,112,5,0,0,0
ITA,06/02/16,AWAY,FRA,1,21,2,0,1,2,1,60.00%,,19,131,112,51.00%,51.00%,53.00%,53.00%,3,8,10,80,77,7,7,0,8,7,901,15,13,171,146,3,0,0,0
SCOT,06/02/16,HOME,ENG,1,9,0,0,0,3,0,60.00%,705,17,138,110,48.00%,48.00%,46.00%,46.00%,4,4,4,92,89,4,4,0,1,1,908,14,12,157,148,9,0,0,0
ENG,06/02/16,AWAY,SCOT,4,15,2,0,1,1,0,33.00%,503,26,113,93,52.00%,52.00%,54.00%,54.00%,1,6,1,89,84,5,5,0,11,11,954,15,14,145,127,10,0,0,0
IRE,07/02/16,HOME,WALES,2,16,1,0,1,3,0,100.00%,,17,187,141,45.00%,45.00%,40.00%,40.00%,4,3,3,124,122,2,2,0,5,5,915,9,1,233,218,7,0,0,0
WALES,07/02/16,AWAY,IRE,2,16,1,0,1,3,0,100.00%,,23,208,147,55.00%,55.00%,60.00%,60.00%,2,8,2,131,129,2,2,0,7,7,913,9,1,212,196,3,0,0,0
FRA,13/02/16,HOME,IRE,4,10,1,0,1,1,0,67.00%,390,28,171,159,50.00%,66.00%,42.00%,72.00%,4,17,10,116,115,7,5,13,12,11,933,10,8,108,103,8,0,0,2
IRE,13/02/16,AWAY,FRA,1,9,0,0,0,3,0,100.00%,232,25,114,91,50.00%,34.00%,58.00%,28.00%,0,5,2,79,73,4,4,9,8,8,916,11,9,208,191,13,0,0,0
WALES,13/02/16,HOME,SCOT,4,27,3,0,3,2,0,100.00%,357,50,98,76,48.00%,52.00%,42.00%,50.00%,5,16,1,57,54,5,5,8,9,9,913,5,4,124,115,8,0,0,2
SCOT,13/02/16,AWAY,WALES,1,23,2,0,2,3,0,100.00%,337,47,89,107,52.00%,48.00%,58.00%,50.00%,5,9,4,73,73,6,3,17,13,13,908,13,10,95,79,5,0,0,2
